source,Pubchem_CID,Melting_Point,reference,Substance_CASRN,SMILES,ConnectivitySMILES,InChI,InChIKey,IUPAC_Name
Pubchem,338,315 °F,"
            ",69-72-7,C1=CC=C(C(=C1)C(=O)O)O,C1=CC=C(C(=C1)C(=O)O)O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",YGSDEFSMJLZEOE-UHFFFAOYSA-N,2-hydroxybenzoic acid
Pubchem,340,68 °C,"
            ",488-17-5,CC1=C(C(=CC=C1)O)O,CC1=C(C(=CC=C1)O)O,"InChI=1S/C7H8O2/c1-5-3-2-4-6(8)7(5)9/h2-4,8-9H,1H3",PGSWEKYNAOWQDF-UHFFFAOYSA-N,"3-methylbenzene-1,2-diol"
Pubchem,342,52.7 °F,"
            ",108-39-4,CC1=CC(=CC=C1)O,CC1=CC(=CC=C1)O,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",RLSSMJSEOOYNOY-UHFFFAOYSA-N,3-methylphenol
Pubchem,356,-70.2 °F,"
            ",111-65-9,CCCCCCCC,CCCCCCCC,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",TVMXDCGIABBOFY-UHFFFAOYSA-N,octane
Pubchem,359,218.5 °C,"
            ",108-73-6,C1=C(C=C(C=C1O)O)O,C1=C(C=C(C=C1O)O)O,"InChI=1S/C6H6O3/c7-4-1-5(8)3-6(9)2-4/h1-3,7-9H",QCDYQQDYXPDABM-UHFFFAOYSA-N,"benzene-1,3,5-triol"
Pubchem,366,154 °C,"
            ",2747-05-9,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C,"InChI=1S/C12H10O4/c1-7-5-12(14)16-11-6-9(15-8(2)13)3-4-10(7)11/h3-6H,1-2H3",HXVZGASCDAGAPS-UHFFFAOYSA-N,(4-methyl-2-oxochromen-7-yl) acetate
Pubchem,370,464 °F,"
            ",149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O,C1=C(C=C(C(=C1O)O)O)C(=O)O,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,"3,4,5-trihydroxybenzoic acid"
Pubchem,379,62 °F,"
            ",124-07-2,CCCCCCCC(=O)O,CCCCCCCC(=O)O,"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)",WWZKQHOCKIZLMA-UHFFFAOYSA-N,octanoic acid
Pubchem,385,106 °C,"
            ",111-16-0,C(CCC(=O)O)CCC(=O)O,C(CCC(=O)O)CCC(=O)O,"InChI=1S/C7H12O4/c8-6(9)4-2-1-3-5-7(10)11/h1-5H2,(H,8,9)(H,10,11)",WLJVNTCWHIRURA-UHFFFAOYSA-N,heptanedioic acid
Pubchem,397,151 °C,"
            ",879-37-8,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,"InChI=1S/C10H10N2O/c11-10(13)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,12H,5H2,(H2,11,13)",ZOAMBXDOGPRZLP-UHFFFAOYSA-N,2-(1H-indol-3-yl)acetamide
Pubchem,398,-135 °F,"
            ",79-46-9,CC(C)[N+](=O)[O-],CC(C)[N+](=O)[O-],"InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3",FGLBSLMDCBOPQK-UHFFFAOYSA-N,2-nitropropane
Pubchem,402,-121.9 °F,"
            ",7783-06-4,S,S,InChI=1S/H2S/h1H2,RWSOTUBLDIXVET-UHFFFAOYSA-N,sulfane
Pubchem,403,369 °F,"
            ",123-30-8,C1=CC(=CC=C1N)O,C1=CC(=CC=C1N)O,"InChI=1S/C6H7NO/c7-5-1-3-6(8)4-2-5/h1-4,8H,7H2",PLIKAWJENQZMHA-UHFFFAOYSA-N,4-aminophenol
Pubchem,408,41 °C,"
            ",15569-85-4,CN1C(CCC1=O)C2=CN=CC=C2,CN1C(CCC1=O)C2=CN=CC=C2,"InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3",UIKROCXWUNQSPJ-UHFFFAOYSA-N,1-methyl-5-pyridin-3-ylpyrrolidin-2-one
Pubchem,409,-79 °C,"
            ",63551-14-4,C[N+]1(CCCC1C2=CN=CC=C2)[O-],C[N+]1(CCCC1C2=CN=CC=C2)[O-],"InChI=1S/C10H14N2O/c1-12(13)7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3",RWFBQHICRCUQJJ-UHFFFAOYSA-N,3-(1-methyl-1-oxidopyrrolidin-1-ium-2-yl)pyridine
Pubchem,428,10 °F,"
            ",109-76-2,C(CN)CN,C(CN)CN,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2,XFNJVJPLKCPIBV-UHFFFAOYSA-N,"propane-1,3-diamine"
Pubchem,444,-234 °C,"
            ",34911-55-2,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,"InChI=1S/C13H18ClNO/c1-9(15-13(2,3)4)12(16)10-6-5-7-11(14)8-10/h5-9,15H,1-4H3",SNPPWIUOZRMYNY-UHFFFAOYSA-N,2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one
Pubchem,447,316 °F,"
            ",535-80-8,C1=CC(=CC(=C1)Cl)C(=O)O,C1=CC(=CC(=C1)Cl)C(=O)O,"InChI=1S/C7H5ClO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,(H,9,10)",LULAYUGMBFYYEX-UHFFFAOYSA-N,3-chlorobenzoic acid
Pubchem,454,-23 °C,"
            ",124-13-0,CCCCCCCC=O,CCCCCCCC=O,"InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3",NUJGJRNETVAIRJ-UHFFFAOYSA-N,octanal
Pubchem,458,139 °C,"
            ",13065-25-3,C[S+](C)CCC(C(=O)O)N,C[S+](C)CCC(C(=O)O)N,"InChI=1S/C6H13NO2S/c1-10(2)4-3-5(7)6(8)9/h5H,3-4,7H2,1-2H3/p+1",YDBYJHTYSHBBAU-UHFFFAOYSA-O,(3-amino-3-carboxypropyl)-dimethylsulfanium
Pubchem,460,82.4 °F,"
            ",90-05-1,COC1=CC=CC=C1O,COC1=CC=CC=C1O,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",LHGVFZTZFXWLCP-UHFFFAOYSA-N,2-methoxyphenol
Pubchem,464,191 °C,"
            ",495-69-2,C1=CC=C(C=C1)C(=O)NCC(=O)O,C1=CC=C(C=C1)C(=O)NCC(=O)O,"InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)",QIAFMBKCNZACKA-UHFFFAOYSA-N,2-benzamidoacetic acid
Pubchem,487,135 dec °C,"
            ",516-05-2,CC(C(=O)O)C(=O)O,CC(C(=O)O)C(=O)O,"InChI=1S/C4H6O4/c1-2(3(5)6)4(7)8/h2H,1H3,(H,5,6)(H,7,8)",ZIYVHBGGAOATLY-UHFFFAOYSA-N,2-methylpropanedioic acid
Pubchem,525,-132 °C,"
            ",6915-15-7,C(C(C(=O)O)O)C(=O)O,C(C(C(=O)O)O)C(=O)O,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)",BJEPYKJPYRNKOW-UHFFFAOYSA-N,2-hydroxybutanedioic acid
Pubchem,527,-114 °F,"
            ",123-38-6,CCC=O,CCC=O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",NBBJYMSMWIIQGU-UHFFFAOYSA-N,propanal
Pubchem,528,200 °C,"
            ",,CC(=O)OCCC(C(=O)O)N,CC(=O)OCCC(C(=O)O)N,"InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)",FCXZBWSIAGGPCB-UHFFFAOYSA-N,4-acetyloxy-2-aminobutanoic acid
Pubchem,533,-86.31 °F,"
            ",7783-07-5,[SeH2],[SeH2],InChI=1S/H2Se/h1H2,SPVXKVOXSXTJOY-UHFFFAOYSA-N,selane
Pubchem,535,231 °C,"
            ",22059-21-8,C1CC1(C(=O)O)N,C1CC1(C(=O)O)N,"InChI=1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2,5H2,(H,6,7)",PAJPWUMXBYXFCZ-UHFFFAOYSA-N,1-aminocyclopropane-1-carboxylic acid
